human, id: 1
sneakers, id: 2
chair, id: 3
hat, id: 4
lamp, id: 5
bottle, id: 6
cabinet/shelf, id: 7
cup, id: 8
car, id: 9
glasses, id: 10
picture/frame, id: 11
desk, id: 12
handbag, id: 13
street lights, id: 14
book, id: 15
plate, id: 16
helmet, id: 17
leather shoes, id: 18
pillow, id: 19
glove, id: 20
potted plant, id: 21
bracelet, id: 22
flower, id: 23
monitor, id: 24
storage box, id: 25
plants pot/vase, id: 26
bench, id: 27
wine glass, id: 28
boots, id: 29
dining table, id: 30
umbrella, id: 31
boat, id: 32
flag, id: 33
speaker, id: 34
trash bin/can, id: 35
stool, id: 36
backpack, id: 37
sofa, id: 38
belt, id: 39
carpet, id: 40
basket, id: 41
towel/napkin, id: 42
slippers, id: 43
bowl, id: 44
barrel/bucket, id: 45
coffee table, id: 46
suv, id: 47
toy, id: 48
tie, id: 49
bed, id: 50
traffic light, id: 51
pen/pencil, id: 52
microphone, id: 53
sandals, id: 54
canned, id: 55
necklace, id: 56
mirror, id: 57
faucet, id: 58
bicycle, id: 59
bread, id: 60
high heels, id: 61
ring, id: 62
van, id: 63
watch, id: 64
combine with bowl, id: 65
sink, id: 66
horse, id: 67
fish, id: 68
apple, id: 69
traffic sign, id: 70
camera, id: 71
candle, id: 72
stuffed animal, id: 73
cake, id: 74
motorbike/motorcycle, id: 75
wild bird, id: 76
laptop, id: 77
knife, id: 78
cellphone, id: 79
paddle, id: 80
truck, id: 81
cow, id: 82
power outlet, id: 83
clock, id: 84
drum, id: 85
fork, id: 86
bus, id: 87
hanger, id: 88
nightstand, id: 89
pot/pan, id: 90
sheep, id: 91
guitar, id: 92
traffic cone, id: 93
tea pot, id: 94
keyboard, id: 95
tripod, id: 96
hockey stick, id: 97
fan, id: 98
dog, id: 99
spoon, id: 100
blackboard/whiteboard, id: 101
balloon, id: 102
air conditioner, id: 103
cymbal, id: 104
mouse, id: 105
telephone, id: 106
pickup truck, id: 107
orange, id: 108
banana, id: 109
airplane, id: 110
luggage, id: 111
skis, id: 112
soccer, id: 113
trolley, id: 114
oven, id: 115
remote, id: 116
combine with glove, id: 117
paper towel, id: 118
refrigerator, id: 119
train, id: 120
tomato, id: 121
machinery vehicle, id: 122
tent, id: 123
shampoo/shower gel, id: 124
head phone, id: 125
